Scenario,delta2,Z,Ship1,Ship2,Ship3,Ship4,Ship5,Ship6,Ship7,Ship8
s1,5.00,1755.99,B2,B4,B3,B1,B3,B2,B3,B4
s2,5.50,1760.99,B2,B4,B3,B1,B3,B2,B3,B4
s3,6.00,1765.99,B2,B4,B3,B1,B3,B2,B3,B4
s4,6.50,1770.99,B2,B4,B3,B1,B3,B2,B3,B4
s5,7.00,1775.99,B2,B4,B3,B1,B3,B2,B3,B4
s6,7.50,1780.99,B2,B4,B3,B1,B3,B2,B3,B4
s7,8.00,1785.99,B2,B4,B3,B1,B3,B2,B3,B4
s8,8.50,1790.99,B2,B4,B3,B1,B3,B2,B3,B4
s9,9.00,1795.99,B2,B4,B3,B1,B3,B2,B3,B4
s10,9.50,1800.99,B2,B4,B3,B1,B3,B2,B3,B4
s11,10.00,1805.99,B2,B4,B3,B1,B3,B2,B3,B4
