Scenario,T(7-3),Z,Ship1,Ship2,Ship3,Ship4,Ship5,Ship6,Ship7,Ship8
s1,5.00,1712.69,B2,B4,B3,B1,B3,B2,B3,B4
s2,5.50,1725.19,B2,B4,B3,B1,B3,B2,B3,B4
s3,6.00,1737.69,B2,B4,B3,B1,B3,B2,B3,B4
s4,6.50,1750.19,B2,B4,B3,B1,B3,B2,B3,B4
s5,7.00,1762.69,B2,B4,B3,B1,B3,B2,B3,B4
s6,7.50,1775.19,B2,B4,B3,B1,B3,B2,B3,B4
s7,8.00,1787.69,B2,B4,B3,B1,B3,B2,B3,B4
s8,8.50,1800.19,B2,B4,B3,B1,B3,B2,B3,B4
s9,9.00,1812.69,B2,B4,B3,B1,B3,B2,B3,B4
s10,9.50,1819.42,B3,B4,B3,B1,B3,B2,B2,B4
s11,10.00,1819.42,B3,B4,B3,B1,B3,B2,B2,B4
s12,10.50,1819.42,B3,B4,B3,B1,B3,B2,B2,B4
s13,11.00,1819.42,B3,B4,B3,B1,B3,B2,B2,B4
s14,11.50,1819.42,B3,B4,B3,B1,B3,B2,B2,B4
s15,12.00,1819.42,B3,B4,B3,B1,B3,B2,B2,B4
s16,12.50,1819.42,B3,B4,B3,B1,B3,B2,B2,B4
s17,13.00,1819.42,B3,B4,B3,B1,B3,B2,B2,B4
s18,13.50,1819.42,B3,B4,B3,B1,B3,B2,B2,B4
s19,14.00,1819.42,B3,B4,B3,B1,B3,B2,B2,B4
s20,14.50,1819.42,B3,B4,B3,B1,B3,B2,B2,B4
s21,15.00,1819.42,B3,B4,B3,B1,B3,B2,B2,B4
