Scenario,D(2),Z,Ship1,Ship2,Ship3,Ship4,Ship5,Ship6,Ship7,Ship8
s1,5,2088.74,B2,B4,B3,B1,B3,B4,B3,B2
s2,6,2082.86,B2,B4,B3,B1,B3,B4,B3,B2
s3,7,2076.98,B2,B4,B3,B1,B3,B4,B3,B2
s4,8,2071.10,B2,B4,B3,B1,B3,B4,B3,B2
s5,9,2044.23,B1,B4,B3,B2,B3,B2,B3,B4
s6,10,2022.66,B2,B4,B3,B1,B3,B2,B3,B4
s7,11,2016.78,B2,B4,B3,B1,B3,B2,B3,B4
s8,12,2010.90,B2,B4,B3,B1,B3,B2,B3,B4
s9,13,2005.02,B2,B4,B3,B1,B3,B2,B3,B4
s10,14,1999.14,B2,B4,B3,B1,B3,B2,B3,B4
s11,15,1993.26,B2,B4,B3,B1,B3,B2,B3,B4
s12,16,1987.38,B2,B4,B3,B1,B3,B2,B3,B4
s13,17,1981.50,B2,B4,B3,B1,B3,B2,B3,B4
s14,18,1975.62,B2,B4,B3,B1,B3,B2,B3,B4
s15,19,1969.73,B2,B4,B3,B1,B3,B2,B3,B4
s16,20,1963.85,B2,B4,B3,B1,B3,B2,B3,B4
s17,21,1957.97,B2,B4,B3,B1,B3,B2,B3,B4
s18,22,1952.09,B2,B4,B3,B1,B3,B2,B3,B4
s19,23,1946.21,B2,B4,B3,B1,B3,B2,B3,B4
s20,24,1907.63,B3,B4,B3,B1,B3,B2,B2,B4
s21,25,1901.75,B3,B4,B3,B1,B3,B2,B2,B4
s22,26,1895.87,B3,B4,B3,B1,B3,B2,B2,B4
s23,27,1889.99,B3,B4,B3,B1,B3,B2,B2,B4
s24,28,1884.11,B3,B4,B3,B1,B3,B2,B2,B4
s25,29,1878.23,B3,B4,B3,B1,B3,B2,B2,B4
s26,30,1872.35,B3,B4,B3,B1,B3,B2,B2,B4
s27,31,1866.47,B3,B4,B3,B1,B3,B2,B2,B4
s28,32,1860.59,B3,B4,B3,B1,B3,B2,B2,B4
s29,33,1854.71,B3,B4,B3,B1,B3,B2,B2,B4
s30,34,1848.83,B3,B4,B3,B1,B3,B2,B2,B4
s31,35,1842.95,B3,B4,B3,B1,B3,B2,B2,B4
s32,36,1837.06,B3,B4,B3,B1,B3,B2,B2,B4
s33,37,1831.18,B3,B4,B3,B1,B3,B2,B2,B4
s34,38,1825.30,B3,B4,B3,B1,B3,B2,B2,B4
s35,39,1819.42,B3,B4,B3,B1,B3,B2,B2,B4
s36,40,1819.42,B3,B4,B3,B1,B3,B2,B2,B4
