Scenario,A(6),Z,Ship1,Ship2,Ship3,Ship4,Ship5,Ship6,Ship7,Ship8
s1,1.00,1830.60,B3,B4,B3,B1,B3,B2,B2,B4
s2,1.10,1829.60,B3,B4,B3,B1,B3,B2,B2,B4
s3,1.20,1828.60,B3,B4,B3,B1,B3,B2,B2,B4
s4,1.30,1827.60,B3,B4,B3,B1,B3,B2,B2,B4
s5,1.40,1826.60,B3,B4,B3,B1,B3,B2,B2,B4
s6,1.50,1825.60,B3,B4,B3,B1,B3,B2,B2,B4
s7,1.60,1824.60,B3,B4,B3,B1,B3,B2,B2,B4
s8,1.70,1823.60,B3,B4,B3,B1,B3,B2,B2,B4
s9,1.80,1822.60,B3,B4,B3,B1,B3,B2,B2,B4
s10,1.90,1821.60,B3,B4,B3,B1,B3,B2,B2,B4
s11,2.00,1820.60,B3,B4,B3,B1,B3,B2,B2,B4
s12,2.10,1819.60,B3,B4,B3,B1,B3,B2,B2,B4
s13,2.20,1818.60,B3,B4,B3,B1,B3,B2,B2,B4
s14,2.30,1817.60,B3,B4,B3,B1,B3,B2,B2,B4
s15,2.40,1816.60,B3,B4,B3,B1,B3,B2,B2,B4
s16,2.50,1815.60,B3,B4,B3,B1,B3,B2,B2,B4
s17,2.60,1814.60,B3,B4,B3,B1,B3,B2,B2,B4
s18,2.70,1813.60,B3,B4,B3,B1,B3,B2,B2,B4
s19,2.80,1812.60,B3,B4,B3,B1,B3,B2,B2,B4
s20,2.90,1811.60,B3,B4,B3,B1,B3,B2,B2,B4
s21,3.00,1810.60,B3,B4,B3,B1,B3,B2,B2,B4
s22,3.10,1809.60,B3,B4,B3,B1,B3,B2,B2,B4
s23,3.20,1808.60,B3,B4,B3,B1,B3,B2,B2,B4
s24,3.30,1807.60,B3,B4,B3,B1,B3,B2,B2,B4
s25,3.40,1806.60,B3,B4,B3,B1,B3,B2,B2,B4
s26,3.50,1805.60,B3,B4,B3,B1,B3,B2,B2,B4
s27,3.60,1804.60,B3,B4,B3,B1,B3,B2,B2,B4
s28,3.70,1803.60,B3,B4,B3,B1,B3,B2,B2,B4
s29,3.80,1802.60,B3,B4,B3,B1,B3,B2,B2,B4
s30,3.90,1801.60,B3,B4,B3,B1,B3,B2,B2,B4
s31,4.00,1800.60,B3,B4,B3,B1,B3,B2,B2,B4
s32,4.10,1799.60,B3,B4,B3,B1,B3,B2,B2,B4
s33,4.20,1798.60,B3,B4,B3,B1,B3,B2,B2,B4
s34,4.30,1797.60,B3,B4,B3,B1,B3,B2,B2,B4
s35,4.40,1796.60,B3,B4,B3,B1,B3,B2,B2,B4
s36,4.50,1795.60,B3,B4,B3,B1,B3,B2,B2,B4
s37,4.60,1794.60,B3,B4,B3,B1,B3,B2,B2,B4
s38,4.70,1793.60,B3,B4,B3,B1,B3,B2,B2,B4
s39,4.80,1792.60,B3,B4,B3,B1,B3,B2,B2,B4
s40,4.90,1791.60,B3,B4,B3,B1,B3,B2,B2,B4
s41,5.00,1790.60,B3,B4,B3,B1,B3,B2,B2,B4
